,Author,Judul Berita,Date,Link,Content
0,Kholida Qothrunnada - detikFinance,"Harga Kripto Hari Ini: Bitcoin Naik, Token Lokal ASIX-ICON Anjlok",29 Maret 2022 09:27 WIB,https://finance.detik.com/fintech/d-6005658/harga-kripto-hari-ini-bitcoin-naik-token-lokal-asix-icon-anjlok,"Harga kripto hari ini di pasaran dalam 24 jam terakhir mengalami kenaikan. Bitcoin masih menjadi kripto yang paling banyak diperdagangkan. Sejumlah harga bitcoin cs naik .Dikutip dari Coinbase, Selasa (29/3/2022) pukul 8.35 WIB harga Bitcoin cs dalam pasar 24 jam terakhir naik 1,06%. Harga Bitcoin naik 1,60% menjadi Rp 681 juta.Kenaikan harga kripto hari ini terjadi pada Ethereum 2,59% ke Rp 48,5 juta. Binance Coin naik 0,76% ke Rp 6,2 juta dan Tether naik 0,08% ke Rp 14.371.Persentase kenaikan harga bitcoin juga menimpa Cardano naik 1,94% ke Rp 17.112, Terra naik 5,23% ke Rp 1,4 juta, hingga Shiba Inu naik 5,97% ke Rp 0,39.Sementara di pasar lokal harga token ASIX anjlok drastis 12,02 % ke Rp 0,0146 dan ICON juga turun 0,22% ke Rp 13,8 ribu.Sedangkan harga kripto hari ini yang turun ada Dogecoin turun 0,20% ke Rp 2.084 ribu dan Litecoin turun 0,11% ke Rp 1,8 juta.Demikian informasi harga kripto hari ini.Lihat juga video 'Prospek Aset Kripto Lokal di Masa Depan di Indonesia': [Gambas:Video 20detik]"
1,Aldiansyah Nurrahman - detikFinance,Dirut Pertamina: Energi Fosil Tetap Ada Bahkan Sampai 2050,29 Maret 2022 09:30 WIB,https://finance.detik.com/energi/d-6005663/dirut-pertamina-energi-fosil-tetap-ada-bahkan-sampai-2050,"Pemerintah saat ini sedang gencar mengembangkan energi baru dan terbarukan (EBT). Salah satu penerapannya di sektor transportasi yang diarahkan menggunakan energi ramah lingkungan seperti listrik.Pemerintah sendiri telah menyiapkan peta jalan transisi energi menuju net zero emission (NZE) untuk periode 2021-2060. Peta jalan ini salah satu memuat soal penghentian penjualan kendaraan konvensional atau berbahan bakar BBM.Upaya pengembangan EBT ini direspon betul oleh PT Pertamina (Persero). Namun Direktur Utama PT Pertamina (Persero) Nicke Widyawati, meyakini bahwa energi fosil tidak hilang begitu saja dan tetap masih ada bahkan hingga 2050.""Dari sisi grand strategy energi nasional, energi fosil tetap ada bahkan sampai 2050. Demand energi naik, namun secara volume tidak langsung hilang begitu saja. Karenanya, energy fosil harus di-maintenance juga,"" katanya melansir Pertamina Energia Weekly, Selasa (29/3/2022).Nicke mencontohkan Pertamina itu memproduksi bahan bakar, maka ketika permintaan BBM itu turun, Pertamina akan memprosesnya menjadi petrochemical. Karena itu, ketika transisi energi terjadi, minyak tidak bisa hilang begitu saja, namun akan masuk ke hilirisasi.Oleh sebab itu, lanjut Nicke, yang harus dilakukan adalah melakukan pengembangan hilirisasi serta perlu pendanaan. Pertamina sadar permintaan petrochemical besar, akan tetapi Indonesia sebagian besarnya masih impor petrochemical.""Pertamina tetap akan melakukan pengembangan energi sesuai target grand energy nasional, tapi dengan cara yang lebih green, seperti green operation. Kita lakukan carbon capture utilization and storage (CCUS), yaitu energi gas buang yang selama ini dibuang begitu saja, ini kita proses lagi menjadi energy,"" tuturnya.Dengan begitu, Nicke menjelaskan, ada proses dekarbonisasi untuk mengurangi emisi. Pertamina sendiri sudah mulai mengurangi emisi sejak 2020. Sementara dalam 2 tahun terakhir ini, Pertamina juga sudah masuk dari existing operation dengan energi gas buang dijadikan listrik.Selain itu, Nicke menyampaikan, Pertamina juga telah menurunkan 27% karbon emisi dari target nasional 25%. Karena itu, bisa dikatakan penerapannya sudah melebihi targetKemudian Pertamina juga melakukan decarbonization dan mendorong masyarakat menggunakan BBM yang kualitasnya lebih baik. Contohnya, yang tadinya BBM RON 88, sekarang sudah RON 90. Bahkan RON 92, disampaikan Nicke, bisa menurunkan 12 juta ton CO2 setahun."
2,Sylke Febrina Laucereno - detikFinance,Peritel Raksasa Ini Putuskan Setop Jual Rokok!,29 Maret 2022 09:03 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6005615/peritel-raksasa-ini-putuskan-setop-jual-rokok,"Salah satu jaringan toko ritel terbesar di Amerika Serikat (AS) Walmart tak lagi menjual rokok di sejumlah tokonya seperti di California, Florida, Arkansas dan New Mexico. Meskipun penjualan rokok bisa menjadi salah satu sumber pendapatan besar bagi perusahaan.Memang, Walmart bukanlah yang pertama menghentikan penjualan rokok di negara tersebut. Tapi langkah penghentian penjualan ini merupakan yang terbesar dibandingkan yang lainnya.Target untuk menghentikan penjualan rokok ini sudah digaungkan sejak 1996 lalu. Dalam pernyataannya, Walmart menyebut jika keputusan ini diharapkan bisa disesuaikan dengan bisnis dan pasar tertentu.""Kami selalu mencari cara untuk memenuhi kebutuhan pelanggan dan tetap menjalankan bisnis secara efisien,"" kata Walmart dikutip dari Aljazeera, Selasa (29/3/2022).Dinas kesehatan di AS menyebut jika merokok menyebabkan satu dari lima kematian yang terjadi di AS setiap tahunnya. Pada 2019 Walmart yang berbasis di Bentonville dan Sam's Clubs mengumumkan untuk menghentikan bisnis vaping dan berhenti menjual rokok elektrik.Tak cuma Walmart, toko CVS Health juga mulai melakukan hal itu pada 2014 lalu. Penjualan CVS Health turun dalam beberapa kuartal setelah menghentikan penjualan produk tembakau. Perusahaan juga telah memprediksi jika penghentian ini akan membuat pendapatan tahunan menyusut."
3,Tim Detikcom - detikFinance,Giliran Rupiah Pagi Ini yang 'Kebakaran',29 Maret 2022 09:34 WIB,https://finance.detik.com/bursa-dan-valas/d-6005676/giliran-rupiah-pagi-ini-yang-kebakaran,"Kurs dolar Amerika Serikat (AS) pada hari ini menguat terhadap rupiah. Sebaliknya, rupiah melemah terhadap semua mata uang.Melansir RTI, Selasa (29/3/2022), dolar AS pada pagi ini pukul 09.27 WIB menguat 123 poin atau 0,87% ke RP 14.334.Tapi dalam sepekan, dolar AS melemah 0,14% terhadap rupiah. Sementara dalam sebulan terakhir melemah tipis 0,01.Dolar AS pada pagi ini bergerak di rentang 14.209 ke 14.366.Sementara itu, rupiah hari ini takluk di hadapan semua mata uang. Paling dalam rupiah melemah terhadap yen yaitu 1,52% ke 115."
4,tim detikhot - detikHot,Ayah Incar Bunuh Yasmeena Ali Gara-gara Keluar Islam Jadi Bintang Porno,29 Maret 2022 09:29 WIB,https://hot.detik.com/celeb/d-6005661/ayah-incar-bunuh-yasmeena-ali-gara-gara-keluar-islam-jadi-bintang-porno,"Yasmeena Ali merupakan perempuan kelahiran Kabul, Afghanistan pada 1993. Ia meninggalkan keyakinannya lalu jadi bintang porno.Yasmeena Ali lahir di bawah kekuasaan Taliban. Ia kemudian bermigrasi ke Inggris bersama keluarganya pada awal 2000-an. Ayah Yasmeena Ali diberikan suaka di Inggris karena menyediakan layanan penerjemah kepada pasukan Inggris dan AS selama pertempuran di Timur Tengah.Yasmeena Ali ternyata tak menemukan kehidupan yang lebih mudah di sana. Ia memilih melarikan diri dari keluarganya, kemudian menikah dengan seorang fotografer Yahudi, David Cohen.Kepada The Post, Yasmeena Ali berkisah tentang dirinya meninggalkan agamanya, kemudian memulai karier sebagai aktris film dewasa di Eropa Timur.Pada 2020, Yasmeena Ali jadi berita utama setelah ayah dan sepupunya ditangkap karena dugaan rencana pembunuhan terhadap dirinya. Sang ayah merasa Yasmeena Ali telah mempermalukan keluarga dengan masuk ke dunia porno. Mereka juga marah karena Yasmeena Ali menikah dengan David Cohen.Keduanya diduga terbang ke Slovakia untuk mencari Yasmeena Ali. Bahkan menurutnya, mereka juga menyewa pembunuh bayaran yang dibayar Rp 1 miliar. Kini keluarga Yasmeena Ali pun dalam proses diekstradisi ke Slovakia.""Saya tidak memiliki kontak dengan keluarga dan mereka belum memberi tahu saya secara langsung bagaimana perasaan mereka tentang karier saya,"" kata Ali kepada The Post.Yasmeena Ali mengaku keluarganya kerap menanamkan rasa takut kepada dirinya. Terlebih ketika ia meninggalkan agama.""Orang tua saya selalu menanamkan rasa takut dalam diri saya: Tuhan, neraka, hukuman. Jika saya meninggalkan Islam, ayah saya mengancam akan membunuh saya karena menodai Islam, budaya Afghanistan, dan kehormatan keluarga,"" lanjut Yasmeena Ali yang kini mengaku ateis."
5,Tim detikcom - detikNews,"Level 4 Nihil, Ini Daftar Terbaru Wilayah PPKM Level 1-3 di Luar Jawa-Bali",29 Maret 2022 08:39 WIB,https://news.detik.com/berita/d-6005598/level-4-nihil-ini-daftar-terbaru-wilayah-ppkm-level-1-3-di-luar-jawa-bali,"Pemberlakuan pembatasan kegiatan masyarakat (PPKM) di luar Pulau Jawa-Bali diperpanjang mulai hari ini hingga 11 April mendatang. Sebanyak 250 kabupaten/kota di luar Jawa-Bali menerapkan PPKM level 2 selama 2 minggu ke depan.Perpanjangan PPKM luar Jawa-Bali ditetapkan melalui Instruksi Menteri Dalam Negeri (Inmendagri) Nomor 19 Tahun 2022. Inmendagri tersebut juga merinci kategori PPKM di setiap daerah di luar Jawa-Bali. Namun tak ada daerah yang menerapkan PPKM level 4.""Posisi ini harus terus kita dorong dengan harapan semakin banyak daerah yang berada di Level 1. Itu artinya bahwa kekebalan masyarakat akan semakin terbentuk dan masyarakat sudah bisa beraktivitas secara normal,"" kata Direktur Jenderal Bina Administrasi Kewilayahan Kementerian Dalam Negeri Safrizal dalam keterangan tertulis, Selasa (29/3/2022).Ini daftar terbaru daerah PPKM level 1-3 di luar Jawa-Bali:Level 2Kabupaten Aceh Tenggara, Kabupaten Aceh Timur, Kabupaten Aceh Barat, Kabupaten Aceh Besar, Kabupaten Aceh Singkil, Kabupaten Aceh Barat Daya, Kabupaten Gayo Lues, Kabupaten Aceh Jaya, Kabupaten Nagan Raya, Kabupaten Aceh Tamiang, Kabupaten Bener Meriah, Kabupaten Pidie Jaya, Kota Lhokseumawe, Kota Langsa, dan Kota Subulussalam.Level 3Kabupaten Aceh Selatan, Kabupaten Aceh Tengah, Kabupaten Pidie, Kabupaten Aceh Utara, Kabupaten Simeulue, Kabupaten Bireuen, Kota Banda Aceh, dan Kota Sabang.Level 1Kabupaten Deli Serdang, Kabupaten Dairi, Kabupaten Mandailing Natal, Kabupaten Nias Selatan, Kota Sibolga, dan Kota Binjai, Kabupaten Pakpak Bharat, dan Kabupaten Simalungun.Level 2Kabupaten Tapanuli Tengah, Kabupaten Tapanuli Utara, Kabupaten Tapanuli Selatan, Kabupaten Nias, Kabupaten Langkat, Kabupaten Karo, Kabupaten Asahan, Kabupaten Labuhanbatu, Kabupaten Toba, Kabupaten Samosir, Kabupaten Serdang Bedagai, Kabupaten Batu Bara, Kabupaten Padang Lawas Utara, Kabupaten Padang Lawas, Kabupaten Labuhanbatu Selatan, Kabupaten Labuhanbatu Utara, Kabupaten Nias Utara, Kabupaten Nias Barat, Kota Medan, Kota Pematangsiantar, Kota Tanjung Balai, Kota Tebing Tinggi, Kota Padang Sidempuan, dan Kota Gunungsitoli.Level 3Kabupaten Humbang Hasundutan.Level 2Kabupaten Pesisir Selatan, Kabupaten Solok, Kabupaten Sijunjung, Kabupaten Tanah Datar, Kabupaten Padang Pariaman, Kabupaten Lima Puluh Kota, Kabupaten Pasaman, Kabupaten Kepulauan Mentawai, Kabupaten Dharmasraya, Kabupaten Solok Selatan, Kabupaten Pasaman Barat, Kota Padang Panjang, Kota Bukittinggi, Kota Payakumbuh, dan Kota Pariaman.Level 3Kabupaten Agam, Kota Padang, Kota Solok, dan Kota Sawahlunto.Level 2Kabupaten Kampar, Kabupaten Indragiri Hulu, Kabupaten Bengkalis, Kabupaten Indragiri Hilir, Kabupaten Pelalawan, Kabupaten Rokan Hulu, Kabupaten Rokan Hilir, Kabupaten Siak, Kabupaten Kuantan Singingi, Kabupaten Kepulauan Meranti, dan Kota Dumai.Level 3Kota Pekanbaru.Level 2Kabupaten Kerinci, Kabupaten Merangin, Kabupaten Sarolangun, Kabupaten Batanghari, Kabupaten Muaro Jambi, Kabupaten Tanjung Jabung Barat, Kabupaten Tanjung Jabung Timur, Kabupaten Bungo, Kabupaten Tebo, Kota Jambi, Kota Sungai Penuh.Level 1Kabupaten Penukal Abab Lematang IlirLevel 2Kabupaten Ogan Komering Ulu, Kabupaten Ogan Komering Ilir, Kabupaten Muara Enim, Kabupaten Lahat, Kabupaten Musi Rawas, Kabupaten Musi Banyuasin, Kabupaten Banyuasin, Kabupaten Ogan Komering Ulu Timur, Kabupaten Ogan Komering Ulu Selatan,Kabupaten Ogan Ilir, Kabupaten Empat Lawang, Kabupaten Musi Rawas Utara, Kota Pagar Alam, Kota Lubuklinggau, dan Kota Prabumulih.Level 3Kota PalembangLevel 2Kabupaten Bengkulu Selatan, Kabupaten Rejang Lebong, Kabupaten Bengkulu Utara, Kabupaten Kaur, Kabupaten Seluma, Kabupaten Muko Muko, Kabupaten Lebong, Kabupaten Kepahiang, dan Kabupaten Bengkulu Tengah.Level 3 Kota BengkuluLevel 2Kabupaten Lampung Selatan, Kabupaten Lampung Tengah, Kabupaten Lampung Utara, Kabupaten Tulang Bawang, Kabupaten Tanggamus, Kabupaten Lampung Timur, Kabupaten Way Kanan, Kabupaten Mesuji, Kabupaten Tulang Bawang Barat, Kabupaten Pesisir Barat, Kota Bandar Lampung, Kota Metro.Level 3Kabupaten Lampung Barat, Kabupaten Pesawaran, dan Kabupaten Pringsewu.Level 2Kabupaten Bangka Selatan.Level 3Kabupaten Bangka, Kabupaten Belitung, Kabupaten Bangka Tengah, Kabupaten Bangka Barat, Kabupaten Belitung Timur, dan Kota Pangkalpinang.Level 2Kabupaten Bintan, Kabupaten Karimun, Kabupaten Lingga, Kabupaten Kepulauan Anambas, dan Kota Batam.Level 3Kabupaten Natuna dan Kota Tanjung Pinang.NTT, NTB dan Kalimantan ada di halaman berikutnya.Simak Video 'Jokowi Izinkan Mudik, Satgas Covid-19 Ingatkan Masyarakat Segera Booster':[Gambas:Video 20detik]"
6,Efendik Kurniawan - detikNews,"Fenomena ""Crazy Rich"" dan Pencucian Uang",29 Maret 2022 10:35 WIB,https://news.detik.com/kolom/d-6005745/fenomena-crazy-rich-dan-pencucian-uang,
7,Yulida Medistiara - detikNews,"Prabowo Bertemu Raja Malaysia, Bahas Apa?",29 Maret 2022 09:27 WIB,https://news.detik.com/berita/d-6005657/prabowo-bertemu-raja-malaysia-bahas-apa,"Menteri Pertahanan (Menhan) RI Prabowo Subianto bertemu dengan Raja Malaysia Al-Sultan Abdullah Ri'ayatuddin Al-Mustafa Billah Shah. Apa yang dibahas keduanya?Pertemuan Prabowo dengan Raja Malaysia dilakukan di sela-sela Defence Services Asia Exhibition and National Security Conference Asia 2022. Acara itu berlangsung pada Senin (28/3/2022).Prabowo hadir atas undangan dari Menteri Pertahanan Malaysia Yang Berhormat Dato' Seri Hishammuddin Hussein.""Bersama Yang Mulia, Yang Di Pertuan Agong Al-Sultan Abdullah Ri'ayatuddin Al-Mustafa Billah Shah, dari Malaysia,"" kata Prabowo dikutip dari akun Instagram resminya, @prabowo, Selasa (29/3/2022).Kemhan mengatakan Prabowo dan Menhan Malaysia membahas penguatan kerja sama pertahanan dengan fokus pada latihan bersama antara Malaysia Armed Forces (MAF) dan TNI. Keduanya juga membahas kerja sama keamanan perbatasan dan kolaborasi industri pertahanan.Selain itu, kedua Menhan menyaksikan penandatanganan MoU antara PT Pindad (Persero) dan Lembaga Tabung Angkatan Tentera (LTAT) Malaysia, yang ditandatangani oleh Direktur Utama PT Pindad Abraham Mose dan Ketua Eksekutif LTAT Dato' Ahmad Nazim Abd Rahman.Prabowo juga melaksanakan pertemuan Trilateral Cooperative Arrangement (TCA) Ministerial Meeting dengan Menhan Malaysia dan Menhan Filipina Delfin Lorenzana. Ketiga menteri tersebut berdiskusi tentang situasi keamanan di Laut Sulu dan Laut Sulawesi, serta penguatan kerja sama untuk mengatasi ancaman berkelanjutan di wilayah maritim.Ketiga negara tersebut telah mencapai tiga kesepakatan, yaitu memperluas TCA di luar lingkup pertahanan dengan menggabungkan pendekatan multi-lembaga yang melibatkan K/L terkait, mempercepat penempatan Trilateral Maritime Patrol Liaison Officer (TMP LO) permanen di Pusat Komando Maritim masing-masing negara untuk memungkinkan pertukaran informasi, pemantauan dan pelaksanaan kegiatan pengawasan laut dan udara yang efektif, dan memastikan penekanan yang lebih besar dalam bidang intelijen untuk operasi pengawasan di masa depan guna meningkatkan produktivitas dan akurasi dalam membatasi kegiatan jaringan kejahatan-teror di wilayah.Simak juga 'Prabowo Temui Pangeran MBZ, Bawa Surat dari Jokowi':[Gambas:Video 20detik]"
8,Inkana Izatifiqa R Putri,"Kemenparekraf Sebut 75,8% Warga Puas atas Perhelatan MotoGP Mandalika",29 Maret 2022 10:35 WIB,https://travel.detik.com/travel-news/d-6005726/kemenparekraf-sebut-758-warga-puas-atas-perhelatan-motogp-mandalika,"Pertamina Grand Prix of Indonesia (MotoGP Mandalika 2022) telah digelar pada 18-20 Maret 2022 di Pertamina Mandalika International Circuit. Berdasarkan hasil quick count Kemenparekraf/Baparekraf, 75,8 persen masyarakat yang menjadi responden merasa puas atas rangkaian penyelenggaraan event tersebut.""Berdasarkan hasil quick count terkait MotoGP Mandalika 2022 hasilnya sangat memuaskan. Secara umum feedback-nya sangat baik, tingkat kepuasan berkaitan dengan MotoGP ini sangat tinggi,"" kata Menteri Pariwisata dan Ekonomi Kreatif/Kepala Badan Pariwisata dan Ekonomi Kreatif, Sandiaga Salahuddin Uno dalam keterangan tertulis, Selasa (29/3/2022).Hal ini ia sampaikan dalam Weekly Press Briefing Kemenparekraf/Baparekraf yang digelar hybrid dari Gedung Sapta Pesona, Senin (28/3). Meski masyarakat mengaku puas, Sandiaga mengatakan masih terdapat masukan atau hasil kepuasan yang masih rendah terkait transportasi lokal dan fasilitas parkir.""Ini kami jadikan catatan yang akan kami sampaikan kepada pihak-pihak terkait termasuk ITDC,"" kata Sandiaga.Sandiaga berharap tingkat kepuasan yang tinggi ini dapat menggerakkan ekonomi lokal, membuka peluang usaha, dan lapangan kerja.""Dari tingkat kepuasan mereka juga berarti bahwa kualitas homestay ini bisa jadi bahan dasar acuan kita untuk membangun Sarhunta berikutnya,"" imbuhnya.Di sisi lain, Deputi Bidang Kebijakan Strategis Kemenparekraf/Baparekraf, Nia Niscaya, menjelaskan berdasarkan hasil quick count, demografi pengunjung MotoGP Mandalika 2022 sebesar 72,98 persen berasal dari generasi milenial. Selain Nusa Tenggara Barat, DKI Jakarta dan Jawa Barat menjadi asal provinsi dengan pengunjung MotoGP Mandalika 2022 terbanyak.Sementara terkait transportasi, 60,61 persen responden menggunakan pesawat sebagai moda transportasi utama dan 22,73 persen menggunakan transportasi pribadi.""Hotel dan homestay menjadi pilihan utama akomodasi wisatawan selama mengunjungi Lombok dengan rata-rata lama tinggal selama 4,2 hari,"" kata Nia.Nia pun menambahkan selama kunjungan, pengeluaran rata-rata wisatawan sebanyak kurang lebih Rp 10 juta. Adapun hospitality dan destinasi pendukung merupakan faktor yang mendapatkan kepuasan paling tinggi jika dibandingkan dengan faktor pendukung lainnya. Sedangkan, kebersihan dan transport lokal menjadi faktor yang mendapat kepuasan paling rendah jika dibandingkan dengan faktor lainnya.""Namun 88,71 persen responden memiliki rencana untuk kembali ke event MotoGP Mandalika di musim selanjutnya,"" ungkap Nia.Nia pun mengungkapkan sebagian besar responden menginginkan adanya evaluasi dan perbaikan terkait sistem dan manajemen transportasi, khususnya bus shuttle dan manajemen parkir. Selain itu, infrastruktur ekosistem sirkuit yang belum selesai diharapkan sudah jauh lebih siap tahun depan.Selain itu, Kemenparekraf melakukan survei terkait tingkat kepuasan penghuni Sarhunta (Sarana Hunian Pariwisata), terutama Sarhunta yang telah terverifikasi Indonesia Care. Nia menjelaskan diketahui 50 persen tamu yang menginap di Sarhunta selama MotoGP merupakan penonton MotoGP.Nia memaparkan 17,6 persen tamu melakukan pemesanan penginapan melalui travel, sedangkan lainnya memesan langsung ke pemilik. Adapun wisatawan yang memilih menginap di Sarhunta terbanyak berasal dari Jakarta, disusul Jawa Barat, Jawa Timur, NTB, dan Bali.""Dari dimensi kebersihan umumnya tamu merasa puas, bahkan lebih dari 55 persen menyatakan sangat puas,"" kata Nia.Dari faktor CHSE lainnya, yakni kesehatan, Nia menyebut tamu merasa puas dengan penerapan protokol kesehatan dan ketersediaan fasilitas Sarhunta yang memadai. Dan dari segi keselamatan, umumnya tamu juga merasa puas dan lebih dari 55,9 persen tamu merasa sangat puas dengan tingkat keamanan di dalam kamar.""Di dimensi kelestarian lingkungan umumnya tamu merasa puas, bahkan terkait ketersediaan sanitasi/pembuangan air bekas pakai dan ketersediaan tempat sampah, lebih dari 50 persen tamu merasa sangat puas,"" kata Nia.Sebagai informasi, dalam acara tersebut turut hadir Wakil Menteri Pariwisata dan Ekonomi Kreatif/Wakil Kepala Badan Pariwisata dan Ekonomi Kreatif, Angela Tanoesoedibjo; Sekretaris Kementerian Pariwisata dan Ekonomi Kreatif/Sekretaris Utama Badan Pariwisata dan Ekonomi Kreatif, Ni Wayan Giri Adnyani; serta seluruh pejabat eselon I dan II di lingkungan Kemenparekraf/Baparekraf."
9,Nugroho Tri Laksono - 20DETIK,Sejumlah Koreksi FIA untuk Sirkuit Formula E di Ancol Jakarta,29 Maret 2022 07:00 WIB,https://news.detik.com/detiktv/d-6005497/sejumlah-koreksi-fia-untuk-sirkuit-formula-e-di-ancol-jakarta,"Panitia atau organizing committee mengungkap koreksi-koreksi dari penyelenggara Formula E, Federasi Automobil Internasional (FIA) untuk lintasan di Ancol, Jakarta Utara."
10,Mauludi Rismoyo - detikHot,"Wajah Mayang Alami Breakout karena Skincare, Doddy Sudrajat Siap Ambil Tindakan",29 Maret 2022 10:35 WIB,https://hot.detik.com/celeb/d-6005548/wajah-mayang-alami-breakout-karena-skincare-doddy-sudrajat-siap-ambil-tindakan,"Anak Doddy Sudrajat, Mayang Lucyana Fitri, lagi heboh karena review produk skincare. Niat menghilangkan jerawat, wajahnya malah mengalami masalah.Mayang pun dianggap bisa mencemarkan nama baik produk skincare. Ia lalu mendapat pembelaan dari sang ayah.Doddy Sudrajat melihat Mayang tak bisa dinilai melakukan pencemaran nama baik. Ia pun siap ambil tindakan jikalau ada laporan kepolisian dari pihak skincare.""Sebenarnya sih kalau dilihat nggak ada pencemaran nama baik, karena kan nilai produknya. Sebenarnya dia yang harusnya somasi produk skincare tersebut, karena Mayang mukanya jadi nggak sesuai ekspektasi. Kalau dibilang pencemaran nama baik, harusnya saya yang mensomasi produk tersebut,"" ujar Doddy.Doddy Sudrajat merasa kasihan dengan wajah Mayang saat ini yang mengalami breakout. Ia juga kesal produk skincare tak indahkan review sang putri.""Ya kasihan Mayang jadi apa ya, sangat disayangkan sudah beli produk mahal terus kulitnya rusak, ya kasihanlah. Apalagi di media sosial ramai dan tidak ada respons,"" tutur Doddy.Doddy Sudrajat siap somasi produk skincare yang bikin wajah Mayang rusak. Ia pun heran anaknya malah dihujat karena berbagi pengalaman mengenai produk tersebut.""Di media sosial sudah sangat ramai dan meresahkan, jadi saya juga sudah konsultasi mengenai masalah Mayang ini karena apa kan sudah tidak sesuai ekspektasi Mayang. Jadi saya harus menyelesaikan masalah Mayang ini. Salah satunya itu (mau somasi karena produk ini nggak respons) sama kan sudah banyak komentar meresahkan ya jadi saya konsultasi mengenai masalah ini,"" kata Doddy.Mayang mengaku membeli produk skincare itu karena melihat review positif di e-commerce dan banyak muncul di media sosialnya. Namun setelah dicoba, ia malah merasa produk tersebut tak sesuai ekspektasi.""Aku di sini sharing, apa yang aku pakai nggak worth it di muka aku. Aku beli, aku kira sesuai ekspektasi karena aku lihat reviewnya bagus-bagus, pas aku coba ternyata nggak worth it. Ini aku jadi breakout, terus dihujat juga kan niatnya mau hilangkan jerawat tapi ternyata begini,"" pungkasnya."
